DoctorNo,DoctorID,RoomNo,FirstName,SecondName,GovHospital,BasicPayment($),Experience(years)
2086,AWoyUmSRcuP9ADUB4anc,86,SRIVASTAVA,AAHIL,Mclaren Lapeer Region,18.45,1
2087,AWqtru8jZ4Yw-wtde18h,87,HIRATA,AALIYAH,St John Macomb-oakland Hospital-macomb Center,324.9,1
2088,AWqtqecBcuP9ADUBBGI4,88,VANDERMARK,AARON,Genesys Regional Medical Center - Health Park,146.73,19
2089,AVzBAIIXFcQ3k02bBbSB,89,MAGGI,ABBY,Mclaren Oakland,3.96,3
2090,AWjlf7gxIxWefVJwGAmq,90,GAUTREAU,ABDUL,Sparrow Carson Hospital,5.76,1
2091,AWqtZFwMcuP9ADUBBF-T,91,FONTE,ABIGAIL,Mclaren Port Huron,26.55,15
2092,AWCabJTCa4HuVbedKUxW,92,MECK,ABIGAIL,Oaklawn Hospital,310.443,1
2093,AWi4tsPaIxWefVJwFafl,93,MCQUINN,ACE,Midmichigan Medical Center-midland,479.9,2
2094,AWhY_r5M3-Khe5l_yMJY,94,CRIDDLE,ACE,Mclaren Macomb,12.88,10
2095,AVwdRsoFByjofQCxnZxc,95,HULIN,ACHILLES,Edward W Sparrow Hospital,13.12,16
2096,AWqtS1f1cuP9ADUBBF6Z,96,FULMORE,ADDISON,Metro Health Hospital,511.84,5
2097,AWmkWmbb3-Khe5l_7fha,97,BALDINO,ADELINE,Chippewa County War Memorial Hospital,91.96,3
2098,AV6XiawYa4HuVbedFK6W,98,NEUGEBAUER,ADELINE,St John River District Hospital,8.34,8
2099,AWoyWmtTcuP9ADUB4izI,99,SLETTEN,ADINA,Garden City Hospital,37.68,9
2100,AWqtRDgssVYjT2BJ_Mci,100,TALCOTT,ADRIEL,Ascension Crittenton Hospital,279.944,11
2101,AWqtQgoSQTFama1Xn-AD,101,TESSMER,AHMAD,St Joseph Mercy Chelsea,636.408,16
2102,AV1tf6Gma4HuVbed8QK2,102,VROOMAN,AHUVA,Southeast Michigan Surgical Hospital,83.168,37
2103,AWqtO-mkQTFama1Xn97u,103,WHITLATCH,AICHA,"Beaumont Hospital, Troy",259.136,2
2104,AWqtNHziQTFama1Xn920,104,MIANO,AIDAN,Beaumont Hospital - Taylor,221.92,25
2105,AVwdGy6R_7pvs4fz2Uco,105,ARAUZ,AIDEN,Detroit Receiving Hospital & Univ Health Center,26,12
2106,AWqtM-1NZ4Yw-wtde1ep,106,LAFON,ALANA,Healthsource Saginaw,15.552,6
2107,AWqtL_STsVYjT2BJ_MOQ,107,CASHIN,ALESSANDRO,Huron Valley-sinai Hospital,0.876,20
2108,AWqtLzE9cuP9ADUBBFpO,108,CARROW,ALESSIA,Brighton Hospital,19.98,1
2109,AV9S6bhDIxWefVJwrecy,109,FEELY,ALEXA,Karmanos Cancer Center,398.352,1
2110,AVwc3USfByjofQCxjBt1,110,PROVO,ALEXANDER,Oakland Regional Hospital,5.04,19
2111,AWqtKwmAZ4Yw-wtde1ZD,111,BOTSFORD,ALEXANDER,Henry Ford West Bloomfield Hospital,17.45,3
2112,AWqtIrjGQTFama1Xn9p7,112,CHOJNACKI,ALEXANDRIA,Munson Healthcare Manistee Hospital,323.136,1
2113,AWMJxi1Xa4HuVbedPjv-,113,PRITTS,ALEXIS,Paul Oliver Memorial Hospital,29.7,15
2114,AWqtH57QsVYjT2BJ_MBq,114,DUBY,ALI,Kalkaska Memorial Health Center,1295.84,1
2115,AWqGb_z_cuP9ADUBACci,115,DANOS,ALI,Schoolcraft Memorial Hospital,46.84,2
2116,AWqtGfzTcuP9ADUBBFYK,116,MUNDO,ALINA,Helen Newberry Joy Hospital,425.833,10
2117,AWkGK5YORxPSIh2RAsfx,117,STRUM,ALIYA,Saint Mary's Standish Community Hospital,209.67,16
2118,AWqtGHzZcuP9ADUBBFXD,118,BEALER,ALLAN,Mackinac Straits Hospital And Health Center,159.88,5
2119,AWqtFkmwsVYjT2BJ_L68,119,BARMORE,ALLYSON,Baraga County Memorial Hospital,5.28,3
2120,AWqtFZ-nZ4Yw-wtde1I-,120,BIRKHOLZ,ALONDRA,Munising Memorial Hospital,895.92,8
2121,AWqtErXjcuP9ADUBBFTP,121,HEDGECOCK,ALVIN,"Aspirus Ontonagon Hospital, Inc",2.808,9
2122,AWezH61AIxWefVJw_wNh,122,VIDES,ALYSSA,Scheurer Hospital,215.976,11
2123,AV1gopYta4HuVbed7LvJ,123,MCJUNKIN,AMALIA,Deckerville Community Hospital,241.96,16
2124,AWo0QIGuQTFama1XgHFN,124,PALEY,AMAYA,Sheridan Community Hospital,27.72,37
2125,AWkGH5-ya4HuVbedi40q,125,DENNIE,AMAYA,Harbor Beach Community Hospital,104.68,2
2126,AVwd4d-mIN2L1WUf0Cej,126,COSEY,AMBER,Mckenzie Health System,62.958,25
2127,AV52v1U8RxPSIh2RkLQE,127,TROMBLY,AMELIE,Ascension Borgess Lee Hospital,86.376,12
2128,AWlUxLZhIxWefVJwKxki,128,WAGAR,ANA,Hills & Dales General Hospital,64.944,6
2129,AV0v_f1XFcQ3k02bFEI8,129,TOPE,ANASTASIA,Spectrum Health Kelsey Hospital,20.736,20
2130,AVwd_Qxs_7pvs4fz_DKX,130,VENTERS,ANDERSON,"Aspirus Iron River Hospital & Clinics, Inc",33.28,1
2131,AVwdIXtTByjofQCxlzqo,131,NEPTUNE,ANDRES,Aspirus Keweenaw Hospital,38.52,1
2132,AWqs8OqbZ4Yw-wtde0pN,132,ALLSHOUSE,ANDREW,Mercy Health Lakeshore Campus,139.86,19
2133,AV0v9VdY-gnIPe8DWJzt,133,KUCZYNSKI,ANGEL,Bell Hospital,19.65,3
2134,AWqs8OaqcuP9ADUBBE0j,134,BEAMS,ANGELA,Munson Healthcare Charlevoix Hospital,152.991,1
2135,AVwdCfHr_7pvs4fz1nIu,135,KILBOURNE,ANGELINA,Spectrum Health Reed City Hospital,10.584,15
2136,AVweNFEQByjofQCxwL49,136,TROXLER,ANGELINA,Eaton Rapids Medical Center,94.92,1
2137,AWiD6CczRxPSIh2R9rYm,137,MCGAHEE,ANGIE,Midmichigan Medical Center-gladwin,14.76,2
2138,AVwcpV9EByjofQCxgnbB,138,LATSON,ANIYAH,Sparrow Clinton Hospital,3.656,10
2139,AVweGuqJByjofQCxvUFu,139,MIRAGLIA,ANJALI,Hayes Green Beach Memorial Hospital,146.82,16
2140,AVwdjTjlkufWRAb57AVV,140,SUDA,ANNA,Allegan General Hospital,149.544,5
2141,AWif36hoIxWefVJwEA8b,141,PRALL,ANNABELLE,Mclaren Caro Region,17.14,3
2142,AWqs4MJlsVYjT2BJ_LE4,142,SEARLS,ANNABELLE,Marlette Regional Hospital,991.764,8
2143,AVwdJbJL_7pvs4fz2vI6,143,TEVIS,ANNIE,Sparrow Ionia Hospital,30.48,9
2144,AVwc6Od5kufWRAb50UjK,144,VALES,ANTHONY,Bronson Lakeview Hospital,23.988,11
2145,AWqs1r-PcuP9ADUBBESh,145,COBERLY,ANTONELLA,Aspirus Ironwood Hospital,16.688,16
2146,AVweM41O_7pvs4fzA7hG,146,EICHMAN,ANTONY,Promedica Herrick Hospital,422.058,37
2147,AVwc79USIN2L1WUfqhJ_,147,HILTZ,ARABELLA,St Francis Hospital,38.088,2
2148,AV5OdSaWIxWefVJwnRdd,148,MANCERA,ARIA,Spectrum Health Gerber Memorial,254.352,25
2149,AVweMyUlkufWRAb5A3cM,149,MROZEK,ARIANNA,Children's Hospital Of Michigan,43.31,12
2150,AV2gdYveIxWefVJwi6Zc,150,OBERMEYER,ARIANNA,North Memorial Medical Center,84.95,6
2151,AVzBABIL3D1zeR_xBDwj,151,WIEDEMAN,ARIELLA,Essentia Health St Mary's Medical Center,233.058,20
2152,AVzA89drLD2H7whiWHHj,152,YOSHIMURA,ARIELLE,Hennepin County Medical Center 1,111.79,1
2153,AV5BWNnJa4HuVbedBFHA,153,PASCUCCI,ARYAN,Olmsted Medical Center,14.94,1
2154,AVzA88sfLD2H7whiWHGU,154,DENK,ASHA,Mayo Clinic Hospital Rochester,14.16,19
2155,AWqs0rZPZ4Yw-wtde0Ce,155,PITA,ASHER,Northfield Hospital,22.608,3
2156,AV1tfCs73-Khe5l_Ogrm,156,ABDUL,ASHTON,Mayo Clinic Health System - Red Wing,21.48,1
2157,AVweO1khkufWRAb5BI9q,157,SCHURR,ASHTON,Essentia Health Duluth,501.81,15
2158,AVwemh5jByjofQCxzwHU,158,HUNTOON,ASTRID,Cambridge Medical Center,161.94,1
2159,AVwcuaTckufWRAb5yWBU,159,SUND,AUDREY,Sanford Worthington Medical Center,17.856,2
2160,AVweLw7aIN2L1WUf2uDn,160,BLOSE,AUGUST,Douglas County Hospital,8.808,10
2161,AWqsyQEsQTFama1Xn8R9,161,AGOSTINI,AUGUST,St Cloud Hospital,79.384,16
2162,AWqsyQGZQTFama1Xn8R-,162,COGDELL,AUGUST,United Hospital,34.58,5
2163,AV0He-fh-gnIPe8DUwD_,163,HAMBURGER,AUSTIN,University Medical Center-mesabi/ Mesaba Clinics,314.55,3
2164,AVwd5RtfkufWRAb5-MFO,164,ORWIG,AUSTIN,Mayo Clinic Health System - Albert Lea And Austin,191.976,8
2165,AVwdzWX9IN2L1WUfzWAZ,165,PELLEY,AVA,Winona Health Services,8.288,9
2166,AVwc1_orByjofQCxizAr,166,MCNELLY,AVERY,St Lukes Hospital,139.92,11
2167,AV1thCJna4HuVbed8Xhw,167,LITTEN,AVERY,Fairview Lakes Medical Center,15.872,16
2168,AWqsu03rZ4Yw-wtdezoP,168,OSTERBERG,AVERY,Lake Region Healthcare Corporation,6.286,37
2169,AWhGz7Ysa4HuVbedfhZ0,169,ZEPP,AVIEL,Park Nicollet Methodist Hospital,14.016,2
2170,AWLFMWCVa4HuVbedPgMm,170,MATHUR,AVIVA,Ridgeview Medical Center,71.976,25
2171,AWqsshhBsVYjT2BJ_KSR,171,ARDON,AVRAHAM,Abbott Northwestern Hospital,107.982,12
2172,AVwedADUIN2L1WUf5Dza,172,PETRE,AYA,Regina Hospital,305.312,6
2173,AV1c16-JIxWefVJweFYE,173,SCHROETER,BECKETT,St Joseph's Hospital,19.752,20
2174,AVwchx0AkufWRAb5wJlg,174,CHRISTOFF,BELLA,Grand Itasca Clinic And Hospital,9.264,1
2175,AWqso7HIsVYjT2BJ_KEn,175,RIDENHOUR,BELLA,Lakeview Memorial Hospital,61.792,1
2176,AWqsoI6NcuP9ADUBBDbf,176,HIBLER,BELLA,Owatonna Hospital,45.68,19
2177,AV0wALT8-gnIPe8DWLOC,177,COACHMAN,BENTLEY,District One Hospital,60.12,3
2178,AVzxoZPSLD2H7whiX6A7,178,TADEO,BERL,Essentia Health St Joseph's Medical Center,41.72,1
2179,AVwdqmTE_7pvs4fz8Ixm,179,VANDERPLOEG,BLAKE,Buffalo Hospital,71.6,15
2180,AWlVTN8t3-Khe5l_5t2m,180,FERENCE,BLESSING,Fairview Southdale Hospital,85.232,1
2181,AWqslCNzsVYjT2BJ_J8a,181,CONNERY,BODHI,"University Of Minnesota  Medical Center, Fairview",44.4,2
2182,AWqsiy5WZ4Yw-wtdey-q,182,ALBRO,BRADLEY,Essentia Health Virginia,442.764,10
2183,AWqsixpGZ4Yw-wtdey-h,183,BUBLITZ,BRADLEY,Carris Health Llc,3999.95,16
2184,AVwdTIDgkufWRAb54cHB,184,FAGUNDES,BRAYAN,Mayo Clinic Health System - Mankato,199.95,5
2185,AVwdQTr8IN2L1WUft32T,185,PURPURA,BRAYDEN,Sanford Bemidji Medical Center,63.68,3
2186,AWOnnmDgIxWefVJw0g9l,186,DEEB,BRAYDEN,Essentia Health St Marys - Detroit Lakes,54.896,8
2187,AWqshsVrsVYjT2BJ_Jsz,187,MELZER,BRIAN,St Francis Regional Medical Center,29,9
2188,AVwec4TDByjofQCxyU1d,188,HAUS,BRIANA,Regions Hospital,70.08,11
2189,AV1goGKMRxPSIh2RaRbD,189,HUFFINE,BRIANNA,Mercy Hospital,121.3,16
2190,AWqscN2-Z4Yw-wtdeykS,190,GRONER,BRIELLA,Fairview Northland Regional Hospital,1454.49,37
2191,AVweCpGs_7pvs4fz_haE,191,LAFORCE,BRIELLA,Mayo Clinic Health System - Fairmont,60.81,2
2192,AWhZBf-M3-Khe5l_yM65,192,BURRISS,BRITNEY,Hutchinson Health,153.552,25
2193,AWoycEf_QTFama1Xfnw7,193,LONGINO,BROOKLYN,Phillips Eye Institute,65.34,12
2194,AWmfNAspIxWefVJwMODn,194,SELDON,BRUCHA,Red Lake Hospital A,123.92,6
2195,AWFFd5bza4HuVbedOIi-,195,CHICOINE,BRYANNA,Fairview Ridges Hospital,35.1,20
2196,AV1suIRg3-Khe5l_OU7F,196,NEIRA,BRYSON,Healtheast St John's Hospital,44.75,1
2197,AVwcpisGByjofQCxgpwP,197,PINTOR,BRYSON,Healtheast Woodwinds Hospital,4.704,1
2198,AWmgBzpARxPSIh2RGvuh,198,TRAGER,CADEN,Maple Grove Hospital,14.67,19
2199,AVwd-VCKIN2L1WUf03rc,199,GARG,CADENCE,Mahnomen Health Center,15.552,3
2200,AVwdWK1mIN2L1WUfu2mm,200,CAMILLERI,CAIDEN,Lakewood Health Center,5.232,1
2201,AVwciphZ_7pvs4fzwPNY,201,LIMBAUGH,CAIDEN,Sanford Westbrook Medical Center,22.2,15
2202,AWqsUU-NQTFama1Xn6l9,202,MARINELLO,CALEB,Sanford Tracy Medical Center,881.93,1
2203,AVwdIwkBkufWRAb52qfd,203,SANZ,CALEB,Sanford Medical Center Wheaton,6.096,2
2204,AVzA-gayFcQ3k02bBadQ,204,HANKEY,CALEB,Riverwood Healthcare Center,191.82,10
2205,AV2gd7jga4HuVbed-OTm,205,AYLOR,CALLIE,Renville County Hospital And Clinics,20.104,16
2206,AWiKgWK_a4HuVbedgMZK,206,HOMES,CAMERON,Lake View Memorial Hospital,67.56,5
2207,AVzBDW7c3D1zeR_xBF40,207,MARRO,CAMERON,Essentia Health Sandstone,29.932,3
2208,AV1TscScFcQ3k02bFjsy,208,STALDER,CAMERON,Ridgeview Sibley Medical Center,38.272,8
2209,AWqsJ_T_sVYjT2BJ_Il0,209,CREASEY,CAMILLA,Cook Hospital,16.52,9
2210,AWqsJ9nAQTFama1Xn6Om,210,BLANKINSHIP,CARA,Essentia Health Ada,832.93,11
2211,AVzYZSI1FcQ3k02bCFCC,211,WALDRUP,CARLA,Johnson Memorial Hospital,43.8,16
2212,AVweJIelkufWRAb5AXXC,212,AUBERT,CARMEN,Sanford Jackson Medical Center,167.292,37
2213,AWoyV1yTQTFama1Xff0w,213,QUINTANAR,CAROLINE,Bigfork Valley Hospital,27.42,2
2214,AV1c3rtWa4HuVbed5n_V,214,TARBELL,CARSON,North Shore Health,1.44,25
2215,AWqsHnD8QTFama1Xn6H4,215,MAYTON,CARTER,Ely Bloomenson Community Hospital,61.776,12
2216,AWmgCjn3a4HuVbedo6Rz,216,BABA,CARTER,Murray County Memorial Hospital,241.96,6
2217,AWqsG0PscuP9ADUBBB0H,217,VOLTZ,CARTER,Riverview Hospital,108.608,20
2218,AV1gzd4-IxWefVJwf8Zd,218,CUBA,CARTER,Essentia Health Holy Trinity Hospital,2.816,1
2219,AV0JrxFnLD2H7whiYdgz,219,BRACCO,CASEY,Rainy Lake Medical Center,9.984,1
2220,AWqsGmN5cuP9ADUBBBzt,220,DIMEO,CASSIDY,Madelia Community Hospital,14.98,19
2221,AV1eS2slIxWefVJwfaxS,221,CAUBLE,CASSIUS,Chippewa County Hospital,1145.6,3
2222,AVwd6maVIN2L1WUf0V_F,222,RODELA,CATHERINE,Centracare Health System - Long Prairie,485.94,1
2223,AVwd5oWrkufWRAb5-PLp,223,SAMBRANO,CAYDEN,Sleepy Eye Municipal Hospital,37.376,15
2224,AVwciUkz_7pvs4fzwLVw,224,DOTEN,CECELIA,Sanford Bagley Medical Center,70.686,1
2225,AWqsFR8XcuP9ADUBBBw8,225,JOBES,CECILIA,Lakewood Health System,54.816,2
2226,AVwc3xSOkufWRAb5z6E9,226,LAURA,CECILIA,Centracare Health System - Melrose Hospital,72.294,10
2227,AV1c64SQ3-Khe5l_MLwA,227,FARRIER,CELESTE,Windom Area Hospital,2.896,16
2228,AV1c6i-AIxWefVJweZI8,228,MIXSON,CESAR,Mayo Clinic Health System - St James,124.792,5
2229,AVzA-jPVFcQ3k02bBafi,229,BASSI,CHANCE,River's Edge Hospital & Clinic,330.588,3
2230,AVwdwxQskufWRAb59BXK,230,KROENING,CHARLOTTE,St Elizabeth Medical Center,673.568,8
2231,AWlVFTzVIxWefVJwKxu6,231,PAPINEAU,CHASE,Kittson Memorial Hospital,52.98,9
2232,AWiEAc28IxWefVJwDTrR,232,SCHEUERMAN,CHASE,North Valley Health Center,526.45,11
2233,AWqr_LjusVYjT2BJ_ILT,233,ZERTUCHE,CHASE,Mayo Clinic Health System - Lake City,228.92,16
2234,AWi44EBpa4HuVbediNg1,234,CARDELLA,CHELSEA,Hendricks Community Hospital,319.968,37
2235,AWoyZpIbsVYjT2BJ2xoT,235,TAUBE,CHLOE,Essentia Health Northern Pines Medical Center,205.03,2
2236,AWoyY1iusVYjT2BJ2xaV,236,BAZZI,CHLOE,Appleton Municipal Hospital,190.86,25
2237,AVyirzxMKV4T4IkwNaSg,237,SAUTTER,CHLOE,Ortonville Area Health Services,24.32,12
2238,AVwdySt7IN2L1WUfzMr1,238,TOBON,CHRIS,Municipal Hospital And Granite Manor,44.4,6
2239,AWpy1TqiZ4Yw-wtddCIL,239,VENDITTI,CHRISTIAN,Lifecare Medical Center,44.4,20
2240,AVweXzMNkufWRAb5CVme,240,NORDMAN,CHRISTINE,Mayo Clinic Health System-waseca,1016.792,1
2241,AWhY_fF5a4HuVbedfr37,241,LOKEN,CHRISTOPHER,Mayo Clinic Health System-cannon Falls,38.136,1
2242,AWlUlBPqRxPSIh2RFHTA,242,FORTINO,CHRISTOPHER,Sanford Canby Medical Center,494.982,19
2243,AVzA9ztg-gnIPe8DSfPw,243,GODBOUT,CLAIRE,Avera Tyler Hospital,56.56,3
2244,AWlVHHTN3-Khe5l_5ttC,244,KNAUB,CLARISSA,Centra Care Health Paynesville,5.56,1
2245,AWqr8A_7Z4Yw-wtdexNZ,245,LARABEE,CLAUDIA,Mercy Hospital,9.02,15
2246,AWmgC1epa4HuVbedo6iX,246,MESERVE,CLEO,Redwood Area Hospital,8.62,1
2247,AWmgEMvRRxPSIh2RGyIP,247,SLAMA,CODY,Mayo Clinic Health System-springfield,659.976,2
2248,AWiD3O9URxPSIh2R9qDB,248,JUNGE,COLE,Cuyuna Regional Medical Center,13.36,10
2249,AVwcfZC_ByjofQCxe0Ow,249,STAMAND,COLIN,Tri County Hospital,41.72,16
2250,AWqrwe5UcuP9ADUBBA-W,250,DAIGNEAULT,COLIN,Glencoe Regional Health Services,11.52,5
2251,AV-VxCwg3-Khe5l_Y2xQ,251,FREDERICKSEN,COLIN,Mille Lacs Health System,541.44,3
2252,AV4ZMd6NIxWefVJwkF1p,252,LOVEALL,COLIN,Essentia Health Fosston,19.44,8
2253,AVweQLaVkufWRAb5BUjy,253,CLOTHIER,COLTON,Cass Lake Indian Health Services Hospital,143.7,9
2254,AV1Tq9MDFcQ3k02bFdT6,254,KUEHNE,COLTON,Avera Marshall Regional Medical Ctr,43.26,11
2255,AV1Tq9KV3D1zeR_xE_oU,255,DELAHOUSSAYE,CONNOR,Deer River Healthcare Center,43.56,16
2256,AVzoF9XX-gnIPe8DT8yi,256,BOSQUEZ,CONOR,Mayo Clinic Health System-new Prague,437.85,37
2257,AWkUAXs33-Khe5l_1qqJ,257,HILDENBRAND,COOPER,Centracare Health - Monticello,109.48,2
2258,AWqrvQ94cuP9ADUBBA7E,258,MUTO,COOPER,Stevens Community Medical Center,1212.96,25
2259,AVwdb4wbIN2L1WUfvzEG,259,VANVLIET,CORA,Community Memorial Hospital,18.54,12
2260,AV0v9hWN3D1zeR_xEnwu,260,FREDERIKSEN,CRISTIAN,Swift County Benson Hospital,5,6
2261,AV1gcUkORxPSIh2RaB1C,261,MERO,CYRUS,Meeker Memorial Hospital,371.97,20
2262,AVz8kCW9LD2H7whiYQ9j,262,RAPIER,CYRUS,Firstlight Health System,166.24,1
2263,AWqrt416sVYjT2BJ_Hg_,263,FELDT,DAKOTA,Centracare Health System - Sauk Centre,359.97,1
2264,AVzA89St3D1zeR_xBBqJ,264,MCPARTLAND,DALIA,United Hospital District,499.98,19
2265,AVzA89YL-gnIPe8DSee8,265,STEGNER,DAMIAN,St Gabriels Hospital,5.28,3
2266,AV1c1o-UIxWefVJweEIm,266,VEENSTRA,DAMIEN,Sanford Luverne Medical Center,8.26,1
2267,AVz50xzzFcQ3k02bDe-c,267,YEATER,DAMON,Madison Hospital,7.968,15
2268,AVwef2W3IN2L1WUf5ff2,268,YEATTS,DANA,Perham Health,12.96,1
2269,AVwdd31ekufWRAb56Me4,269,ROSENBLOOM,DANIEL,Pipestone County  Medical Center,6.48,2
2270,AWqrrebFQTFama1Xn5GH,270,SHEPPERD,DANIEL,Minnesota Valley Health Center  Inc,6.984,10
2271,AWqrqlLXcuP9ADUBBAyo,271,MARCHBANKS,DANIELLA,Glacial Ridge Hospital,47.96,16
2272,AV1c2POKIxWefVJweGyh,272,TAPSCOTT,DANNA,St Francis Medical Center,199.74,5
2273,AVwdnRR4IN2L1WUfxjTZ,273,BAYNARD,DAPHNE,New Ulm Medical Center,435.26,3
2274,AVweGvp9ByjofQCxvUNd,274,OSBY,DARIEL,Prairie Ridge Hospital And Health Services,1119.984,8
2275,AVwdHXBkIN2L1WUfsXAu,275,CUMBERBATCH,DARIUS,St Josephs Area  Health Services,143.432,9
2276,AVwckoRckufWRAb5wqO6,276,BRASSARD,DAVID,Sanford Medical Center Thief River Falls,122.352,11
2277,AWjSRee3RxPSIh2RAOjH,277,DAHLMAN,DAVINA,Gillette Childrens Specialty Hospital,306.2,16
2278,AVwc7P23IN2L1WUfqZkA,278,DOI,DEAN,Children's Hospitals & Clinics Of Mn,85.98,37
2279,AWjXu1An3-Khe5l_0_8u,279,KATONA,DEAN,Shriners Hospitals For Children - Twin Cities,223.96,2
2280,AWkrE8v9RxPSIh2RDOH3,280,NIESEN,DESTINY,University Of Mississippi Med Center,97.568,25
2281,AVwdqjUW_7pvs4fz8INO,281,SLAVIK,DESTINY,Tishomingo Health Services Inc,614.272,12
2282,AWqrgq4lsVYjT2BJ_HQw,282,MACNEILL,DEVON,North Mississippi Medical Center,199.98,6
2283,AWeArVqba4HuVbedbj06,283,MARSALA,DOMINICK,Baptist Memorial Hospital Union County,48.16,20
2284,AVwdOwNoByjofQCxm5BH,284,FAZEKAS,DRAIZY,Merit Health Biloxi,23.92,1
2285,AWh02_LyRxPSIh2R9jmD,285,CUDD,DWAYNE,Magnolia Regional Health Center,60.69,1
2286,AVwdGWxQIN2L1WUfsNBu,286,OCANA,DYLAN,Alliance Healthcare System,14.352,19
2287,AVwdJMusIN2L1WUfspjl,287,BRIMER,DYLAN,Trace Regional Hosp And Swing Bed,35.04,3
2288,AWkUO3gBIxWefVJwGrKH,288,LACHMAN,EDEN,Jasper General Hospital,17.48,1
2289,AVwdMCK3IN2L1WUftIiO,289,BALLA,EDEN,Memorial Hospital At Gulfport,16.4,15
2290,AWme0NetRxPSIh2RGZWy,290,SHAHID,EDGAR,Webster General Hospital/ Swing Bed,892.98,1
2291,AWkUHBVn3-Khe5l_1tB7,291,GAMMAGE,EDITH,Gilmore Memorial Hospital,287.97,2
2292,AV12gH0q3-Khe5l_PXEY,292,CANEZ,EDUARDO,Winston Medical Center & Swingbed,595.38,10
2293,AWkUJUjUa4HuVbedjOMI,293,FICKES,EITAN,Merit Health River Region,12.96,16
2294,AVwd7hveByjofQCxtwkw,294,GOLDBLATT,ELENA,Baptist Memorial Hospital North Ms,4.95,5
2295,AWE2CMpa3-Khe5l_fvkw,295,MCGEEHAN,ELENA,George Regional Health System,181.95,3
2296,AVwd2D0xIN2L1WUfzuNO,296,WESTERBERG,ELI,Merit Health Madison,13.52,8
2297,AVwdDoyL_7pvs4fz1zvY,297,LEGLER,ELI,Singing River Hospital,259.7,9
2298,AVwclD2BIN2L1WUfmjH8,298,STANBERRY,ELIAS,Northwest Mississippi Medical Center,42.95,11
2299,AV1eQXO1a4HuVbed6qmP,299,HILLERY,ELISE,Neshoba County General Hospital,1399.93,16
2300,AVwefL7nkufWRAb5DYgZ,300,COLOSIMO,ELISE,Baptist Memorial Hospital Booneville,503.96,37
2301,AWhu9WJj3-Khe5l_yXCN,301,FLOREK,ELISHEVA,St Dominic-jackson Memorial Hospital,12.72,2
2302,AV12e2kgIxWefVJwhkac,302,HECKATHORN,ELIZABETH,Beacham Memorial Hospital,11.52,25
2303,AV24F3Ak3-Khe5l_Q7SB,303,LENART,ELLIANA,Och Regional Medical Center,316,12
2304,AWjlo5dAa4HuVbedinw2,304,MCNEILLY,ELLIANA,King's Daughters Medical Center-brookhaven,723.92,6
2305,AWkLDN7N3-Khe5l_1dUN,305,VILES,ELLIOTT,South Central Reg Med Ctr,106.32,20
2306,AWkO-RZ6a4HuVbedjBHx,306,DAVIN,ELOISE,Jefferson County Hospital,141.372,1
2307,AV1dux6Z3-Khe5l_MwYw,307,PIERRO,ELOISE,Yalobusha General Hospital,27.216,1
2308,AV12g-IR3-Khe5l_Pbb6,308,EDMAN,ELUZER,Clay County Medical Center,390.75,19
2309,AWNGmrXURxPSIh2Ruit-,309,PATRON,EMERSON,Rush Foundation Hospital,280.792,3
2310,AVwditZckufWRAb566se,310,TIPPS,EMILIA,Merit Health Central,68.448,1
2311,AVwc7CExkufWRAb50dGu,311,ARDIS,EMILIA,Wayne General Hospital,88.04,15
2312,AVzBACsi3D1zeR_xBDyH,312,HASSEN,EMILIO,Forrest General Hospital,15.872,1
2313,AVzo_UXuLD2H7whiXtrW,313,CRASE,EMMA,Sharkey Issaquena Community Hospital,215.592,2
2314,AVwchtjn_7pvs4fzwEAJ,314,GEBERT,EMMA,Anderson Rmc South,14.62,10
2315,AVwchnkO_7pvs4fzwCup,315,PREDMORE,EMMA,Delta Regional Medical Center,416.32,16
2316,AVzF-t6l3D1zeR_xBSR-,316,ENTWISTLE,EMMANUEL,Merit Health Natchez,43,5
2317,AVwefw9ukufWRAb5DeNS,317,LOURENCO,EMMETT,Marion General Hospital,182.94,3
2318,AVwefF0fByjofQCxyqM1,318,SNIVELY,EMMETT,Bolivar Medical Center,60.83,8
2319,AVwd8vO7IN2L1WUf0pJG,319,CHIVERS,ENOCH,Merit Health Wesley,389.97,9
2320,AVzBGwmfLD2H7whiWMlN,320,BYAS,ERIC,South Sunflower County Hospital,194.32,11
2321,AVwdq9d4kufWRAb58L9s,321,EDSALL,ERICA,Merit Health Rankin,265.93,16
2322,AVzBGuvsLD2H7whiWMkn,322,SNEDDON,ERIK,Southwest Ms Regional Medical Center,94.74,37
2323,AV1tgtYTIxWefVJwg-zG,323,KLOSTER,ERIN,Greenwood Leflore Hospital,60.64,2
2324,AVzA9k-k3D1zeR_xBCPE,324,LUEDKE,ESME,Baptist Mem Hosp/ Golden Triangle Inc,76.3,25
2325,AWqqqTPLsVYjT2BJ_GYL,325,BARCELO,ESTHER,Mississippi Baptist Medical Center,364.8,12
2326,AVweUISWByjofQCxxINc,326,CORNS,ESTY,Anderson Regional Medical Ctr,79.872,6
2327,AV1glA58RxPSIh2RaMoh,327,PAULA,ETHAN,Highland Community  Hospital,46.384,20
2328,AVzA9ND43D1zeR_xBB_a,328,TACKER,ETHAN,Garden Park Medical Center,12.96,1
2329,AVwc3scNkufWRAb5z5K3,329,MARTON,ETHAN,Magee General Hospital,14.352,1
